host_response_rate,host_is_superhost,host_identity_verified,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_90,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,check_in_24h,air_conditioning,high_end_electronics,bbq,balcony,nature_and_views,bed_linen,breakfast,tv,coffee_machine,cooking_basics,washers,elevator,gym,child_friendly,parking,outdoor_space,host_greeting,hot_tub_sauna_or_pool,internet,long_term_stays,pets_allowed,private_entrance,secure,self_check_in,smoking_allowed,accessible,event_suitable
100,False,True,80211,39.7738,-105.00936999999999,House,Entire home/apt,4,1,2,2,85.0,500.0,150.0,4,25.0,30,26,92,10,10.0,10.0,10.0,9.0,10.0,False,strict_14_with_grace_period,1,1,0,0,0.06,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
100,True,True,80204,39.727709999999995,-104.99788000000001,House,Entire home/apt,2,1,1,1,175.0,0.0,50.0,2,25.0,1,90,94,10,10.0,10.0,10.0,9.0,9.0,False,moderate,3,3,0,0,0.56,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
90,False,True,80223,39.71284,-104.99193999999999,House,Entire home/apt,3,1,1,2,130.0,100.0,150.0,3,50.0,30,57,99,10,10.0,10.0,10.0,10.0,10.0,True,strict_14_with_grace_period,4,4,0,0,0.53,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0
100,True,True,80203,39.73486,-104.98561000000001,Apartment,Entire home/apt,2,1,0,0,120.0,0.0,25.0,1,5.0,1,28,92,9,9.0,10.0,10.0,10.0,9.0,False,moderate,3,3,0,0,0.28,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0
100,False,True,80205,39.7494,-104.97469,House,Private room,2,1,1,1,75.0,100.0,10.0,1,0.0,1,63,96,10,9.0,10.0,10.0,10.0,9.0,False,strict_14_with_grace_period,2,1,1,0,3.98,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
100,True,True,80211,39.76013,-105.03131,House,Entire home/apt,6,1,3,4,254.0,300.0,100.0,1,0.0,30,9,95,10,10.0,10.0,10.0,10.0,10.0,True,strict_14_with_grace_period,1,1,0,0,0.39,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
94,False,False,80205,39.74777,-104.95886000000002,House,Entire home/apt,2,1,1,2,99.0,0.0,75.0,2,0.0,30,60,98,10,10.0,10.0,10.0,10.0,9.0,False,strict_14_with_grace_period,6,6,0,0,0.45,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
100,True,True,80209,39.71302,-104.97511999999999,House,Private room,1,1,1,1,48.0,0.0,15.0,1,30.0,2,25,97,10,10.0,10.0,10.0,10.0,10.0,True,flexible,2,1,1,0,1.66,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
97,False,True,80205,39.76804,-104.97044,House,Entire home/apt,6,2,3,4,132.0,595.0,95.0,3,25.0,30,0,91,9,9.0,10.0,10.0,8.0,9.0,False,strict_14_with_grace_period,3,1,2,0,0.69,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
100,True,False,80212,39.7675,-105.04356000000001,Apartment,Entire home/apt,2,1,1,1,110.0,0.0,60.0,2,0.0,2,2,97,10,10.0,10.0,10.0,10.0,10.0,False,moderate,1,1,0,0,2.1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0
100,False,False,80218,39.73684,-104.96973999999999,House,Private room,2,1,1,1,68.0,0.0,0.0,1,15.0,2,90,94,10,9.0,10.0,10.0,10.0,10.0,False,moderate,3,0,3,0,1.92,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100,False,False,80218,39.73206,-104.96918000000001,House,Private room,3,1,1,2,62.0,0.0,0.0,1,15.0,2,90,94,10,9.0,10.0,10.0,10.0,9.0,False,moderate,3,0,3,0,2.09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
