date,host_response_rate,host_is_superhost,host_identity_verified,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_90,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,check_in_24h,air_conditioning,high_end_electronics,bbq,balcony,nature_and_views,bed_linen,breakfast,tv,coffee_machine,cooking_basics,washers,elevator,gym,child_friendly,parking,outdoor_space,host_greeting,hot_tub_sauna_or_pool,internet,long_term_stays,pets_allowed,private_entrance,secure,self_check_in,smoking_allowed,accessible,event_suitable
2016-07-26,100,True,False,80205,39.75603,-104.95002,House,Entire home/apt,10,4,4,5,225.0,500.0,195.0,4,15.0,3,28,100,10,10.0,10.0,10.0,10.0,10.0,True,strict_14_with_grace_period,1,1,0,0,3.67,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0
2015-03-13,100,True,True,80219,39.71631,-105.02109,House,Private room,2,1,1,1,60.0,500.0,45.0,1,10.0,2,25,95,10,10.0,10.0,10.0,10.0,10.0,False,moderate,2,0,2,0,1.4,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0
2017-08-13,100,True,False,80207,39.75231,-104.93983,Apartment,Entire home/apt,2,1,1,1,85.0,0.0,25.0,2,25.0,1,72,97,9,10.0,10.0,10.0,10.0,10.0,True,moderate,1,1,0,0,6.63,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0
2012-09-13,100,True,True,80205,39.76836,-104.96685,Apartment,Entire home/apt,4,1,0,2,89.0,1500.0,75.0,1,0.0,1,53,100,10,10.0,10.0,10.0,10.0,10.0,True,moderate,1,1,0,0,1.27,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1
2012-01-19,100,True,True,80211,39.77063,-105.03706,House,Private room,1,1,1,1,31.0,200.0,225.0,2,100.0,30,0,97,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,0,1,0,0.6,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0
2013-07-16,100,True,True,80222,39.68117,-104.93095,Apartment,Entire home/apt,2,1,1,1,60.0,0.0,40.0,1,0.0,2,68,98,10,10.0,10.0,10.0,10.0,10.0,False,moderate,1,1,0,0,5.17,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0
2018-10-08,98,True,False,80203,39.74203,-104.97948999999998,Apartment,Entire home/apt,4,1,1,2,124.0,400.0,80.0,2,5.0,2,66,91,10,10.0,9.0,10.0,9.0,9.0,True,strict_14_with_grace_period,51,51,0,0,1.24,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
2015-01-19,0,False,False,80205,39.75674,-104.97347,Apartment,Entire home/apt,4,1,2,2,150.0,0.0,50.0,4,0.0,30,0,100,10,10.0,10.0,10.0,10.0,10.0,False,moderate,1,1,0,0,0.2,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
2015-07-29,100,False,True,80205,39.75214,-104.98841000000002,House,Entire home/apt,14,4,3,4,256.0,500.0,210.0,8,12.0,2,37,94,10,10.0,10.0,9.0,9.0,10.0,True,strict_14_with_grace_period,3,3,0,0,1.15,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0
2013-02-23,97,False,True,80209,39.71334,-104.97403,House,Entire home/apt,3,1,2,2,75.0,0.0,0.0,1,0.0,2,0,100,10,10.0,10.0,10.0,10.0,10.0,False,moderate,1,1,0,0,0.42,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0
2018-11-24,70,False,False,80203,39.74629,-104.97838,Apartment,Entire home/apt,4,1,1,1,175.0,150.0,125.0,2,10.0,1,90,100,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,2,2,0,0,0.08,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
2016-12-14,100,False,False,80211,39.76158,-105.01261,House,Entire home/apt,12,2,3,6,99.0,199.0,170.0,10,0.0,1,68,97,9,9.0,9.0,10.0,10.0,9.0,True,moderate,1,1,0,0,6.12,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0
2018-12-04,98,False,False,80204,39.74338,-105.04607,Apartment,Entire home/apt,6,1,1,3,103.0,0.0,50.0,1,0.0,1,84,100,10,10.0,10.0,10.0,10.0,9.0,False,moderate,121,121,0,0,5.62,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
2015-10-17,100,True,True,80203,39.72111,-104.97806,House,Entire home/apt,14,3,5,6,395.0,0.0,200.0,1,0.0,2,34,97,10,10.0,10.0,10.0,10.0,10.0,True,flexible,2,2,0,0,1.17,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1
2017-11-28,100,True,True,80203,39.73033,-104.98483,Other,Hotel room,1,1,1,1,53.0,0.0,0.0,1,53.0,1,90,95,10,9.0,10.0,10.0,10.0,10.0,True,flexible,6,0,0,0,0.54,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0
2018-12-29,100,True,False,80210,39.69367,-104.97744,House,Private room,1,1,1,1,50.0,0.0,0.0,1,0.0,3,86,96,10,9.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,0,1,0,2.28,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
2014-10-14,96,True,False,80204,39.73906,-105.03291000000002,Apartment,Private room,2,1,1,1,38.0,0.0,25.0,4,0.0,1,65,99,10,10.0,10.0,10.0,10.0,10.0,False,moderate,3,1,2,0,5.36,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
